ホテル名,id,電話番号,休憩(平日),休憩(休日),宿泊(平日),宿泊(休日),宿泊(謎),サービスタイム,ショートタイム,住所
Bless,4,03-5291-6262,"2,500","2,500","6,600","9,600","6,600","4,500","2,500",東京都新宿区歌舞伎町2-2-12
フランセパリス,15,03-3209-7791 ,"2,500","2,500","5,500","8,500","5,500","2,500",-,東京都新宿区歌舞伎町2-6-8
ホテル i（アイ）,79,03-3202-0332,"2,500","2,500","5,000","8,000","5,000",-,-,東京都新宿区歌舞伎町1-13-4
ブレス,93,03-5291-6262,"2,500","2,500","6,600","9,600","6,600","4,500",-,東京都新宿区歌舞伎町2-2-12
ホテル リオ,78,03-3200-5602,"3,300","3,800","6,900","7,900","6,900","4,800",-,東京都新宿区大久保1-17-1
ホテル モナコ,102,03-3232-8018,"3,300","3,600","5,500","6,500","5,500",-,-,東京都新宿区百人町1-4-25
Eight,5,03-3208-8008,"3,500","5,300","7,400","13,500","12,500","4,750","3,900",東京都新宿区歌舞伎町2-2-8
K,26,03-3209-5911,"3,500",-,"5,800",-,-,-,-,東京都新宿区歌舞伎町2-35-13
ドルフィン,97,03-3200-5321,"3,500","3,500","6,000","6,000","6,000","3,700",-,東京都新宿区百人町1-4-11
ヴィップイン,101,03-3367-6767 ,"3,500","3,500","6,000","6,000","6,000","3,500",-,東京都新宿区百人町1-9-18
サンマリン,96,03-3371-3378 ,"3,560","3,560","7,400","7,400","7,400","4,100",-,東京都新宿区百人町2-17-3
ホテル ヤングイン,95,03-3366-2401,"3,660","3,660","6,770","7,850","6,770","3,360",-,東京都新宿区西新宿7-10-3
ホテル Liberty,66,03-3200-1148,"3,800","4,900","7,200","9,900","7,200","4,900","2,800",東京都新宿区歌舞伎町2-6-8
フォーラム,72,03-5287-6233,"3,800","4,800","6,000","7,000","6,000","5,800",-,東京都新宿区百人町1-3-8
HOTEL ATLAS,18,03-3209-5567,"3,900","6,600","7,800","12,900","7,800","3,900","4,990",東京都新宿区歌舞伎町2-12-9
HOTEL ATLAS,60,03-3209-5567,"3,900","6,600","7,800","12,900","7,800","3,900","4,490",東京都新宿区歌舞伎町2-12-9
新宿アーバンホテル,7,03-3209-1231,"4,000","4,000","7,000","7,000","7,000",-,-,東京都新宿区歌舞伎町2−8−12
HOTEL N.U.T.S,98,03-5379-1041 ,"4,000","5,800","8,800","9,500","8,800","4,900",-,東京都新宿区新宿1-16-5
エクセレント,57,03-3200-6501,"4,100","4,100","6,500","6,500","6,500","4,100","3,900",東京都新宿区歌舞伎町2-7-10
ホテル 8,58,03-3208-8008,"4,210","9,070","9,070","11,800","9,070","4,750",-,東京都新宿区歌舞伎町2-2-8
ホテル ヴィラホワイト,70,03-3209-4510,"4,400","4,400","5,500","6,900","5,500","4,400",-,東京都新宿区百人町1-2-6
G7,3,03-3232-0007,"4,500","5,200","6,900",-,"9,800",-,-,東京都新宿区歌舞伎町2-5-5
La Festae,30,03-3200-1022,"4,500","4,500","8,000","10,000","8,000","4,500","3,500",東京都新宿区歌舞伎町2-28-11
ALPHA,35,03-3200-4136,"4,500","4,500","8,500","8,500","8,500","4,800",-,東京都新宿区歌舞伎町2-33-10
遊楽膳,67,03-3209-2414,"4,500","4,500","7,500","11,500","7,500","3,500","3,500",東京都新宿区歌舞伎町2-6-14
フェスタ,87,03-3200-1022 ,"4,500","4,500","8,000","10,000","8,000","4,500","3,500",東京都新宿区歌舞伎町2-28-11
Style-A,34,03-3209-3980,"4,630","5,000","8,340","9,000","9,000","5,000",-,東京都新宿区歌舞伎町2-30-5
HOTEL PAL新宿店,71,03-3200-4844,"4,680","5,180","9,500","12,500","9,500","3,990",-,東京都新宿区歌舞伎町2-30-3
AVYSS,8,03-3200-6321 ,"4,800","4,800","8,700","11,100","8,700","4,800",-,東京都新宿区歌舞伎町2-8-2
W-BAGUS,24,03-3202-2525,"4,800","6,000","8,800","12,800","12,800","4,800","3,900",東京都新宿区歌舞伎町2-13-1
LEONI,38,03-3208-5556,"4,800","4,800","7,800","9,800","12,180","4,800","3,040",東京都新宿区歌舞伎町2-31-6
ホテル プティバリ　東新宿店（バリアングループ）,41,0120-691-581,"4,800",-,"9,800","12,800","12,800","9,800",-,東京都新宿区歌舞伎町2-5-1
HOTEL W-BAGUS,52,03-3202-2525,"4,800","4,800","8,800","11,800","8,800","4,800","3,900",東京都新宿区歌舞伎町2-13-1
HOTEL SERIO,59,03-5285-3460,"4,800","4,800","8,300","8,300","8,300","4,800",-,東京都新宿区歌舞伎町2-15-13
アビス,69,03-3200-6321,"4,800","5,500","8,700","11,100","8,700","4,800",-,東京都新宿区歌舞伎町2-8-2
ホテル α,85,03-3200-4136 ,"4,800","4,800","8,500","9,860","8,500","4,800",-,東京都新宿区歌舞伎町2-33-10
レオーニ,90,03-3208-5556 ,"4,800","4,800","7,800","9,800","7,800","4,800","3,040",東京都新宿区歌舞伎町2-31-6
W aramis,10,03-5291-1955 ,"4,900","6,300","9,900","11,900","9,900","4,900","3,900",東京都新宿区歌舞伎町2-7-4
WAKO,29,03-3200-2111,"4,900","3,900","8,500","8,900","8,500","3,900",-,東京都新宿区歌舞伎町2-35-9
HOTEL W-ARAMIS,53,03-5291-1955,"4,900","6,300","9,900","11,900","9,900","4,900","3,900",東京都新宿区歌舞伎町2-7-4
HOTEL MALTA,89,03-3200-8181,"4,900","5,400","8,800","11,500","8,800","4,900","3,600",東京都新宿区歌舞伎町2-32-2
HOTEL WAKO,100,03-3200-2111,"4,900","3,900","8,500","8,900","8,500","3,900",-,東京都新宿区歌舞伎町2-35-9
XO歌舞伎町,75,03-5155-7357,"4,980","4,980","9,980","11,960","9,980","4,980","3,460",東京都新宿区歌舞伎町2-35-12
PASEO,1, 03-3205-0234 ,"5,000","5,000","8,000","10,000","8,000","5,000","3,500",東京都新宿区歌舞伎町2-5-8
ALAND,28,03-3232-6121,"5,000","5,000","8,000","9,980","8,000","5,000",-,東京都新宿区歌舞伎町2-28-8
SUN,68,03-3204-6006,"5,000","7,350","7,350","8,730","7,350","5,000",-,東京都新宿区歌舞伎町2-33-7
HOTEL Style-A,77,03-3209-3980,"5,000","5,000","9,000","12,000","9,000","5,000",-,東京都新宿区歌舞伎町2-30-5
ホテル パセオ,86,03-3205-0234,"5,000","5,000","8,000","10,000","8,000","5,000",-,東京都新宿区歌舞伎町2-5-8
アランド新宿,88,03-3232-6121 ,"5,000","5,000","8,000","9,980","8,000","5,000",-,東京都新宿区歌舞伎町2-28-8
ビーナス,99,03-3200-1581,"5,100","5,100","9,600","9,600","9,600","5,100",-,東京都新宿区歌舞伎町2-33-8
Te MOANA,33,03-3205-6860,"5,180","5,180","8,420","12,420","8,420","5,180","3,990",東京都新宿区歌舞伎町2-30-3
ホテル モアナ新宿,76,03-3205-6860,"5,180","5,180","8,420","12,420","8,420","5,180","3,990",東京都新宿区歌舞伎町2-30-3
MALTA,39,03-3200-8181 ,"5,200","5,500","9,300","11,500","12,500","4,900","3,700",東京都新宿区歌舞伎町2-32-2
HOTEL X,13,03-3200-5115,"5,300","5,300","9,500","12,480","9,500","5,300","3,500",東京都新宿区歌舞伎町2-6-6
HOTEL O,14,03-3200-5115,"5,300","5,300","9,500","12,480","9,500","5,300","3,500",東京都新宿区歌舞伎町2-6-6
HOTEL PROUD,63,03-3209-8731,"5,300","5,300","9,900","13,500","9,900","5,300","4,500",東京都新宿区歌舞伎町2-7-6
セアン新宿,73,03-3209-2761,"5,300","5,300","8,500","8,500","8,500","5,300","3,900",東京都新宿区歌舞伎町2-31-5
ティファード,80,03-3208-6061,"5,300","5,300","9,300","11,280","9,300","5,300","3,990",東京都新宿区歌舞伎町2-29-7
ホテル LISTO,47,03-5155-9255,"5,400",-,"5,400","11,900","9,800","5,400",-,東京都新宿区歌舞伎町2-36-1
HOTEL カラフルP&A新宿,56,03-5155-5544,"5,400","6,480","9,720","10,800","9,720","5,400",-,東京都新宿区歌舞伎町2-45-10
ホテル NN,81,03-3350-1731,"5,400","5,400","8,500","8,500","8,500","5,800",-,東京都新宿区四谷4-26
シーズン,83,03-3209-3424 ,"5,400","5,400","6,700","8,300","6,700","5,400","3,900",東京都新宿区歌舞伎町2-23-8
HOTEL 新宿ジャルディーノ,62,03-5155-2885,"5,480","5,980","11,000","12,000","11,000","5,980","3,990",東京都新宿区歌舞伎町2-34-1
FORSION,21,03-3202-2591,"5,500","5,500","11,500","11,500","11,500","6,800",-,東京都新宿区歌舞伎町2-9-7
La pia,31,03-5272-2471,"5,500","6,000","8,500","11,500","8,500","5,500","4,400",東京都新宿区歌舞伎町2-29-2
La MODE,36,03-3204-5101,"5,500","5,500","9,300","9,300","12,280","5,500",-,東京都新宿区歌舞伎町2-30-8
Designer's HOTEL&SPA PASHA RESORT,50,03-3232-5201,"5,500",-,"11,230","14,470","11,230","5,500",-,東京都新宿区歌舞伎町2-27-4
HOTEL LaPia,54,03-5272-2471,"5,500","6,000","8,500","11,500","8,500","5,500","3,900",東京都新宿区歌舞伎町2-29-2
ラモード新宿,74,03-3204-5101,"5,500","5,500","9,300","9,300","12,200","5,500",-,東京都新宿区歌舞伎町2-30-8
GARN FARRE,37,03-3202-1031,"5,600","5,600","9,500","6,820","6,820","5,600","3,990",東京都新宿区歌舞伎町2-32-10
グランファーレ,82,03-3202-1031,"5,600","5,600","9,500","9,500","9,500","5,600","3,990",東京都新宿区歌舞伎町2-32-10
labio,25,03-5155-7727 ,"5,700","5,700","10,800","13,800","10,800","5,700",-,東京都新宿区歌舞伎町2-35-1
ホテル ラビオ,84,03-5155-7727,"5,700","5,700","10,800","13,800","10,800","5,700",-,東京都新宿区歌舞伎町2-35-1
GRAY,12,03-5155-6222,"5,800","5,800","9,500","13,800","9,500","5,800",-,東京都新宿区歌舞伎町2-12-12
オリオン,64,03-3200-5761,"5,800","5,800","9,300","10,100","9,300","5,800","4,500",東京都新宿区歌舞伎町2-11-12
グレイ,65,03-5155-6222,"5,800","5,800","9,500","13,800","9,500","5,800",-,東京都新宿区歌舞伎町2-12-12
ホテル 新御苑,91,03-3354-2960,"5,800","5,800","8,800","8,800","8,800","5,800",-,東京都新宿区四谷4-28
GRAND CHARIOT,6,03-3208-0005,"5,900","5,900","10,000","11,000","10,000","5,900","5,000",東京都新宿区歌舞伎町2-6-1
HOTEL SEKITEI EMPEROR TOWER,16,03-5155-6537,"5,900","6,500","9,900","12,900","9,900","5,900","4,900",東京都新宿区歌舞伎町2-12-2
HOTEL THE HOTEL,17,03-6380-3737,"5,900","6,400","8,900","12,900","12,900","5,900","3,900",東京都新宿区歌舞伎町2-12-10
HOTEL THE HOTEL,55,03-6380-3737,"5,900","6,400","7,900","11,900","7,900","5,900","3,900",東京都新宿区歌舞伎町2-12-10
HOTEL SEKITEI EMPEROR TOWER,92,03-5155-6537,"5,900","6,500","9,900","12,900","9,900","5,900",-,東京都新宿区歌舞伎町2-12-2
Jmex,2,03-3205-2223,"5,940","5,940","11,120","13,280","11,120","5,940",-,東京都新宿区歌舞伎町２丁目５−６
Stellate,20,03-3232-8511,"5,940","5,940","12,200","14,360","12,200","5,940","4,970",東京都新宿区歌舞伎町2-11-1
J-MEX【新宿JHTホテルグループ】,48,03-3205-2223,"5,940",-,"11,120","13,280","11,120","5,940",-,東京都新宿区歌舞伎町2-5-6
HOTEL STELLATE,61,03-3232-8511,"5,940","5,940","12,200","14,360","12,200","5,940","4,970",東京都新宿区歌舞伎町2-11-1
Image,19,03-3209-0200,"6,000",-,"10,500",-,-,-,"5,000",東京都新宿区歌舞伎町2-11-15
BRON MODE,32,03-3208-6211,"6,000","6,000","11,000","11,000","11,000","6,000","3,700",東京都新宿区歌舞伎町2-29-7
ブロンモード新宿,94,03-3208-6211,"6,000","6,000","11,000","11,000","11,000","6,000",-,東京都新宿区歌舞伎町2-29-7
ホテル バリアンリゾート新宿本店,43,0120-938-994,"6,300",-,"12,800","15,800","12,800","6,300",-,東京都新宿区歌舞伎町2-1-11
an 晏,11,03-3207-5111 ,"6,370","6,370","11,660","13,820","9,720","6,370","4,640",東京都新宿区歌舞伎町2-7-5
晏 -AN- 【新宿JHTホテルグループ】,49,03-3207-5111,"6,370",-,"11,660","13,820","9,720","6,370",-,東京都新宿区歌舞伎町2-7-5
PERRIER【新宿JHTホテルグループ】,51,03-3207-5921,"6,370",-,"11,660","11,660","11,660","6,370",-,東京都新宿区歌舞伎町2-7-12
D-wave,9,03-3200-4681,"6,580","6,580","12,090","15,330","11,600","6,580",-,東京都新宿区歌舞伎町2-8-6
D-WAVE【新宿JHTホテルグループ】,45,03-3200-4681,"6,580",-,"12,090","15,330","11,660","6,580",-,東京都新宿区歌舞伎町2-8-6
ホテル バリアンリゾート東新宿店,40,0120-998-656,"6,800",-,"12,800","15,800","12,800","6,800",-,東京都新宿区歌舞伎町2-19-17
ホテル バリアンリゾート新宿アイランド店,42,0120-974-059,"6,800",-,"12,800","15,800","12,800","6,800",-,東京都新宿区歌舞伎町2-22-10
FORSION【新宿JHTホテルグループ】,46,03-3202-2591,"6,800",-,"12,850","16,010","12,200","6,800",-,東京都新宿区歌舞伎町2-9-7
PASHA,22,03-3207-2031,"7,880","7,880","14,470","17,710","13,600","7,880",-,東京都新宿区歌舞伎町2-10-12
PASHA【新宿JHTホテルグループ】PASHA【新宿JHTホテルグループ】,44,03-3207-2031,"7,880",-,"14,470","17,710","13,600","7,880",-,東京都新宿区歌舞伎町2-10-12
URBAN STAGE,23,03-3209-0771 ,-,"6,400",-,-,-,-,"4,500",東京都新宿区歌舞伎町2-11-14
Ai,27,03-3207-3232,-,-,-,-,-,-,-,東京都新宿区歌舞伎町2-28-7
